id;brand;model;year;owner_id
B-000001;Cube;Car-655;2007;P-000028
B-000002;Specialized;Before-798;2005;P-000041
B-000003;Scott;Late-116;2005;P-000036
B-000004;Trek;Item-548;2003;P-000029
B-000005;Specialized;Current-848;2010;P-000045
B-000006;Trek;Significant-363;2002;P-000007
B-000007;Merida;According-201;2011;P-000019
B-000008;Cube;Really-769;2023;P-000015
B-000009;Trek;Then-500;2005;P-000046
B-000010;Specialized;Add-730;2004;P-000020
B-000011;Cannondale;Full-383;2000;P-000002
B-000012;Cannondale;Through-582;2024;P-000012
B-000013;Giant;Pattern-362;2008;P-000003
B-000014;Bianchi;Wrong-992;2023;P-000049
B-000015;Cube;Hear-144;2021;P-000044
B-000016;Cannondale;Bill-211;2001;P-000023
B-000017;Cube;To-205;2013;P-000025
B-000018;Merida;Movie-733;2000;P-000044
B-000019;Bianchi;News-516;2002;P-000045
B-000020;Bianchi;Conference-215;2009;P-000038
B-000021;Cannondale;Rather-946;2002;P-000020
B-000022;Bianchi;Medical-385;2003;P-000001
B-000023;Giant;Sister-277;2014;P-000042
B-000024;Cannondale;Tend-947;2012;P-000011
B-000025;Cannondale;Law-105;2005;P-000016
B-000026;Cannondale;Entire-957;2001;P-000047
B-000027;Trek;Chair-441;2023;P-000042
B-000028;Trek;Growth-842;2015;P-000014
B-000029;Merida;Later-400;2003;P-000002
B-000030;Trek;Investment-128;2013;P-000042
