id;brand;model;year;ram;vram;owner_id
L-000001;Razer;You-9828;2025;64;8;P-000048
L-000002;HP;Both-1582;2016;8;2;P-000024
L-000003;Dell;Low-7321;2017;16;12;P-000033
L-000004;Acer;Actually-5739;2020;64;2;P-000011
L-000005;Asus;Cell-2830;2025;64;6;P-000021
L-000006;HP;System-556;2015;128;6;P-000027
L-000007;Lenovo;Keep-4162;2024;4;4;P-000010
L-000008;MSI;Firm-7745;2015;16;6;P-000035
L-000009;Razer;Thing-2687;2025;128;8;P-000033
L-000010;Acer;Traditional-1793;2025;4;12;P-000023
L-000011;Acer;Listen-4776;2018;64;16;P-000019
L-000012;Razer;Two-8843;2019;64;12;P-000010
L-000013;MSI;Win-6381;2025;64;6;P-000011
L-000014;HP;Discussion-9345;2020;16;8;P-000006
L-000015;Razer;Billion-4970;2017;4;4;P-000033
L-000016;Asus;Place-6113;2021;4;6;P-000036
L-000017;Dell;Ball-6206;2025;4;2;P-000043
L-000018;Asus;Interview-7174;2016;32;16;P-000001
L-000019;HP;Couple-7981;2017;32;12;P-000011
L-000020;Acer;Likely-1261;2020;4;8;P-000019
L-000021;Dell;By-9986;2023;64;8;P-000045
L-000022;MSI;Hold-8338;2021;4;12;P-000007
L-000023;HP;South-6354;2025;4;8;P-000029
L-000024;Razer;Fine-1934;2024;4;12;P-000049
L-000025;MSI;Record-8300;2024;16;16;P-000046
L-000026;Razer;Magazine-1480;2021;4;6;P-000005
L-000027;Dell;Could-5004;2015;16;4;P-000016
L-000028;Lenovo;Kid-1049;2024;128;12;P-000022
L-000029;Apple;Hair-2893;2015;8;12;P-000001
L-000030;MSI;Television-8951;2019;16;8;P-000040
