id;brand;model;year;owner_id
B-000001;Cube;Same-254;2008;P-000014
B-000002;Specialized;Safe-846;2022;P-000021
B-000003;Bianchi;Relate-836;2003;P-000025
B-000004;Bianchi;Agree-672;2023;P-000009
B-000005;Giant;Might-380;2022;P-000031
B-000006;Bianchi;Staff-579;2014;P-000045
B-000007;Specialized;Girl-346;2005;P-000005
B-000008;Merida;Call-140;2001;P-000035
B-000009;Merida;Region-644;2010;P-000040
B-000010;Giant;Young-985;2024;P-000020
B-000011;Cannondale;Difficult-676;2012;P-000021
B-000012;Scott;Peace-533;2017;P-000026
B-000013;Merida;Challenge-933;2001;P-000002
B-000014;Specialized;Skin-468;2022;P-000002
B-000015;Cannondale;Not-852;2008;P-000007
B-000016;Giant;Social-880;2002;P-000045
B-000017;Cube;Rate-131;2009;P-000015
B-000018;Cube;Pressure-834;2025;P-000008
B-000019;Merida;Foot-417;2000;P-000038
B-000020;Trek;After-654;2001;P-000049
B-000021;Specialized;Goal-419;2000;P-000042
B-000022;Bianchi;Writer-524;2002;P-000001
B-000023;Specialized;Month-742;2020;P-000014
B-000024;Giant;Beautiful-345;2011;P-000041
B-000025;Trek;Next-365;2015;P-000019
B-000026;Bianchi;Realize-325;2004;P-000004
B-000027;Bianchi;Find-505;2023;P-000032
B-000028;Trek;Dog-739;2010;P-000027
B-000029;Scott;Threat-763;2018;P-000046
B-000030;Specialized;War-543;2005;P-000015
