id;brand;model;year;owner_id
B-000001;Scott;From-578;2003;P-000015
B-000002;Bianchi;Exist-238;2001;P-000035
B-000003;Merida;Fill-319;2003;P-000043
B-000004;Bianchi;Rate-897;2010;P-000007
B-000005;Cube;Interest-368;2009;P-000012
B-000006;Scott;It-285;2011;P-000040
B-000007;Scott;Modern-421;2003;P-000015
B-000008;Merida;Yeah-673;2014;P-000019
B-000009;Scott;Language-757;2004;P-000027
B-000010;Cannondale;Claim-663;2009;P-000023
B-000011;Scott;Late-430;2021;P-000001
B-000012;Specialized;Food-407;2013;P-000028
B-000013;Giant;Kind-378;2013;P-000007
B-000014;Scott;Experience-942;2023;P-000025
B-000015;Specialized;Political-509;2010;P-000022
B-000016;Specialized;Themselves-699;2003;P-000046
B-000017;Giant;Republican-944;2017;P-000015
B-000018;Scott;Movement-328;2019;P-000007
B-000019;Trek;Modern-862;2025;P-000024
B-000020;Cannondale;Third-463;2003;P-000001
B-000021;Trek;Everyone-567;2024;P-000042
B-000022;Cube;Professor-934;2023;P-000024
B-000023;Bianchi;Behavior-114;2000;P-000020
B-000024;Merida;Main-571;2002;P-000008
B-000025;Scott;Recognize-868;2008;P-000002
B-000026;Cube;Success-463;2024;P-000026
B-000027;Cube;Worker-726;2018;P-000044
B-000028;Cube;Full-632;2000;P-000015
B-000029;Scott;Customer-216;2001;P-000015
B-000030;Scott;Challenge-684;2002;P-000039
