id;brand;model;year;owner_id
B-000001;Trek;Activity-175;2009;P-000037
B-000002;Cannondale;Write-585;2003;P-000003
B-000003;Giant;Possible-923;2017;P-000012
B-000004;Merida;Cut-870;2005;P-000048
B-000005;Scott;Bad-865;2018;P-000020
B-000006;Cannondale;May-500;2022;P-000027
B-000007;Bianchi;Face-417;2010;P-000005
B-000008;Specialized;But-832;2023;P-000042
B-000009;Scott;Let-856;2000;P-000038
B-000010;Cannondale;Cover-761;2008;P-000018
B-000011;Scott;Police-854;2005;P-000041
B-000012;Giant;True-590;2004;P-000033
B-000013;Specialized;Drug-931;2000;P-000048
B-000014;Specialized;Receive-938;2024;P-000011
B-000015;Trek;Phone-362;2002;P-000012
B-000016;Giant;Somebody-104;2002;P-000029
B-000017;Cannondale;Enter-424;2025;P-000042
B-000018;Specialized;Reflect-902;2003;P-000004
B-000019;Trek;Everybody-970;2012;P-000048
B-000020;Trek;Risk-311;2009;P-000023
B-000021;Trek;All-959;2010;P-000009
B-000022;Cube;Focus-554;2012;P-000050
B-000023;Cube;Start-634;2000;P-000031
B-000024;Merida;Per-501;2015;P-000046
B-000025;Cube;Toward-395;2014;P-000044
B-000026;Specialized;Nation-435;2014;P-000029
B-000027;Scott;Eight-284;2004;P-000019
B-000028;Cannondale;Method-368;2022;P-000019
B-000029;Cube;Way-240;2023;P-000043
B-000030;Specialized;Country-216;2020;P-000021
