id;brand;model;year;ram;vram;owner_id
L-000001;Lenovo;Create-4899;2024;8;8;P-000036
L-000002;Asus;Relate-2364;2023;16;12;P-000028
L-000003;Razer;System-8651;2025;4;8;P-000024
L-000004;Apple;Run-7492;2024;8;4;P-000040
L-000005;HP;Yard-3199;2023;8;12;P-000009
L-000006;Dell;Its-7078;2021;128;8;P-000009
L-000007;Apple;Interest-2094;2021;64;4;P-000047
L-000008;Razer;Environment-7828;2023;16;2;P-000045
L-000009;Dell;Lose-3503;2019;4;8;P-000006
L-000010;Dell;Their-8653;2015;4;16;P-000027
L-000011;Asus;New-960;2019;128;8;P-000009
L-000012;Acer;Worry-2674;2019;32;6;P-000031
L-000013;HP;Down-7621;2020;64;6;P-000034
L-000014;Acer;Threat-1733;2022;8;12;P-000025
L-000015;HP;Vote-7673;2025;64;8;P-000045
L-000016;Acer;Class-6284;2025;128;6;P-000031
L-000017;Acer;Behavior-3525;2019;4;2;P-000035
L-000018;MSI;Happen-7724;2025;8;8;P-000033
L-000019;Razer;Within-2995;2024;16;8;P-000045
L-000020;HP;Size-5499;2020;4;12;P-000031
L-000021;Acer;My-9019;2021;8;8;P-000045
L-000022;Razer;Region-240;2025;32;16;P-000015
L-000023;Razer;Others-9333;2024;8;4;P-000004
L-000024;HP;Couple-4904;2021;4;6;P-000028
L-000025;Apple;Child-1550;2015;32;2;P-000023
L-000026;Lenovo;Tax-1271;2020;4;2;P-000021
L-000027;Lenovo;Small-1529;2022;128;12;P-000009
L-000028;Asus;Black-1010;2023;64;16;P-000048
L-000029;Acer;List-9239;2015;4;16;P-000039
L-000030;Lenovo;Marriage-6240;2025;64;2;P-000034
