id;brand;model;year;ram;vram;owner_id
L-000001;Acer;Great-128;2025;16;16;P-000008
L-000002;Dell;Really-6288;2015;4;4;P-000019
L-000003;Lenovo;North-4934;2025;64;2;P-000004
L-000004;Razer;Not-1463;2021;4;12;P-000030
L-000005;Dell;Value-3974;2016;128;4;P-000038
L-000006;HP;Wrong-2079;2022;4;8;P-000027
L-000007;Lenovo;Maybe-611;2020;4;16;P-000010
L-000008;Razer;Include-6046;2015;4;2;P-000048
L-000009;Asus;House-4822;2019;64;12;P-000018
L-000010;MSI;Notice-8347;2016;64;12;P-000047
L-000011;HP;Employee-2751;2022;16;6;P-000009
L-000012;Lenovo;Into-2707;2022;64;6;P-000048
L-000013;Lenovo;Team-9492;2023;64;6;P-000015
L-000014;HP;Everyone-7943;2018;64;4;P-000046
L-000015;Lenovo;Involve-6348;2017;128;6;P-000023
L-000016;Dell;Good-9593;2018;16;12;P-000040
L-000017;Lenovo;Letter-3775;2016;128;12;P-000023
L-000018;Apple;Beyond-406;2017;128;6;P-000023
L-000019;Razer;Police-7429;2018;64;6;P-000010
L-000020;Acer;Not-2611;2017;32;6;P-000023
L-000021;MSI;Power-8593;2016;4;8;P-000002
L-000022;Asus;Indeed-4043;2022;16;16;P-000033
L-000023;Dell;Four-4593;2025;64;8;P-000044
L-000024;Asus;History-1329;2016;4;16;P-000020
L-000025;Lenovo;Training-5804;2022;8;6;P-000046
L-000026;Razer;Art-3036;2018;64;2;P-000037
L-000027;Acer;Organization-4875;2025;64;16;P-000005
L-000028;HP;More-7490;2016;8;8;P-000005
L-000029;HP;Military-5553;2016;4;16;P-000013
L-000030;Razer;Career-2593;2021;16;16;P-000015
